OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
37;1;10;420249;5,8;72457
37;1;6;431619;5,23;82528
28;2;8;1314299;13,3;98819
50;1;9;404559;2;202279
28;1;5;80362;2,42;33207
50;1;10;2105532;7,16;294069
50;1;7;678508;1,2;565424
29;1;5;427958;6,17;69361
45;1;9;200541;2,35;85337
50;1;8;975654;6,34;153889
50;1;10;227100;1,3;174692
28;2;6;847863;5;169573
39;1;9;514040;9,72;52885
16;1;9;649034;3;216345
15;1;5;60102;1;60102
50;1;6;752325;1,08;696597
84;1;5;406776;1,51;269388
46;1;8;47877;1;47877
50;1;5;1081360;2;540680
28;1;8;288975;3,48;83039
50;1;5;492077;1;492077
46;1;7;52888;1;52888
46;2;8;117989;1;117989
46;1;4;173049;3;57683
50;1;9;1111961;2;555981
50;1;7;1169655;2,08;562334
46;1;3;205181;2;102591
39;1;8;415471;6,38;65121
50;1;5;301501;1;301501
50;1;6;509887;2;254944
16;1;5;404951;4,77;84895
28;1;6;102065;2,9;35195
50;1;7;400382;2,13;187973
50;1;8;391274;1;391274
39;1;6;32062;2,45;13086
39;1;9;55166;2,56;21549
48;2;8;69670;1;69670
39;1;9;61998;1;61998
37;1;4;53022;1;53022
37;1;9;71171;2,46;28931
37;2;4;31585;4,19;7538
29;2;5;71309;3,02;23612
61;1;8;747527;7,83;95470
50;2;9;183846;1,03;178491
50;1;5;178533;1;178533
50;1;7;586137;1;586137
29;1;9;102608;3,49;29401
48;1;7;31789;1;31789
37;1;8;197289;1,91;103293
50;1;9;226941;2,75;82524
28;2;9;329491;4,36;75571
39;1;10;382147;7,46;51226
37;1;8;205246;5,72;35882
50;1;6;431894;2,53;170709
48;1;10;24659;1;24659
48;2;10;44493;1;44493
48;1;9;53839;1;53839
48;1;9;45617;1;45617
46;1;11;20001;1;20001
50;1;9;75073;1;75073
48;2;9;47302;1;47302
48;2;5;51089;1;51089
46;1;8;65447;1;65447
50;1;6;97305;1;97305
48;1;4;115118;2,11;54558
29;1;5;88969;1,21;73528
39;1;9;53941;1;53941
